Adresse,Account,Inscrits
"Manjakaray, Antananarivo, Analamanga, Madagascar",Particulier,4
"Maroantsetra, Analanjirofo, Madagascar",Particulier,1
"Matanga, Vangaindrano, Atsimo-Atsinanana, Madagascar",Marchand,1
"Matanga, Vangaindrano, Atsimo-Atsinanana, Madagascar",Particulier,1
Mazoarivo,Particulier,2
Miandrarivo,Particulier,1
Miandriarivo,Particulier,1
"Miandrivazo, Menabe, Madagascar",Particulier,2
"Miarinarivo, Itasy, Madagascar",Marchand,2
"Miarinarivo, Itasy, Madagascar",Particulier,3
"Moramanga, Alaotra-Mangoro, Madagascar",Grande Entreprise,1
"Moramanga, Alaotra-Mangoro, Madagascar",Particulier,1
Morarano,Particulier,2
"Morondava, Menabe, Madagascar",Particulier,3
"Morondava, Menabe, Madagascar",Épicerie,2
"Namontana, Antananarivo, Analamanga, Madagascar",Particulier,1
"Nanisana, Antananarivo, Analamanga, Madagascar",Grande Entreprise,1
"Nanisana, Antananarivo, Analamanga, Madagascar",Particulier,8
"Nosy Be Hell-Ville, Nosy Be, Diana, Madagascar",Marchand,1
"Nosy Be Hell-Ville, Nosy Be, Diana, Madagascar",Particulier,4
"Nosy Be, Diana, Madagascar",Marchand,2
"Nosy Be, Diana, Madagascar",Particulier,5
"Nosy Varika, Vatovavy, Madagascar",Particulier,2
Ouest Mananjara,Particulier,2
Paris,Particulier,1
Pavillon S23,Marchand,1
"Port-Bergé, Sofia, Madagascar",Particulier,2
"Ravitoto, Antananarivo, Analamanga, Madagascar",Particulier,2
"Sabotsy Namehana, Antananarivo, Analamanga, Madagascar",Particulier,7
"Sambava, Sava, Madagascar",Marchand,1
"Sambava, Sava, Madagascar",Particulier,3
"Sirama, Ambilobe, Diana, Madagascar",Particulier,1
"Soamanandrariny, Antananarivo, Analamanga, Madagascar",Particulier,3
"Soanierana, Antananarivo, Analamanga, Madagascar",Particulier,4
"Soanierana-Ivongo, Analanjirofo, Madagascar",Particulier,1
"Soanierana-Ivongo, Analanjirofo, Madagascar",Épicerie,1
"Soanindrariny, Antsirabe, Vakinankaratra, Madagascar",Particulier,1
"Soavimasoandro, Antananarivo, Analamanga, Madagascar",Particulier,1
"Soavimbahoaka, Antananarivo, Analamanga, Madagascar",Particulier,2
"Soavina, Antananarivo, Analamanga, Madagascar",Particulier,1
"Soavinandriana, Itasy, Madagascar",Particulier,6
"Talatamaty, Antananarivo, Analamanga, Madagascar",Particulier,9
"Tanjombato, Antananarivo, Analamanga, Madagascar",Marchand,3
"Tanjombato, Antananarivo, Analamanga, Madagascar",Non renseigné,1
"Tanjombato, Antananarivo, Analamanga, Madagascar",Particulier,6
"Toamasina, Atsinanana, Madagascar",Grande Entreprise,1
"Toamasina, Atsinanana, Madagascar",Marchand,2
"Toamasina, Atsinanana, Madagascar",Particulier,9
"Toamasina, Atsinanana, Madagascar",Épicerie,1
"Tolagnaro, Anosy, Madagascar",Particulier,4
"Toliara, Atsimo-Andrefana, Madagascar",Marchand,2
"Toliara, Atsimo-Andrefana, Madagascar",Particulier,12
Tongarivo,Particulier,1
"Tsarahonenana, Antananarivo, Analamanga, Madagascar",Particulier,4
"Tsaramasay, Antananarivo, Analamanga, Madagascar",Particulier,2
"Tsaratanana, Betsiboka, Madagascar",Particulier,1
"Tsiadana, Antananarivo, Analamanga, Madagascar",Particulier,3
"Tsihombe, Androy, Madagascar",Particulier,1
"Tsimbazaza, Antananarivo, Analamanga, Madagascar",Marchand,1
"Tsimbazaza, Antananarivo, Analamanga, Madagascar",Particulier,1
"Tsiroanomandidy, Bongolava, Madagascar",Particulier,4
"Vakinankaratra, Madagascar",Particulier,1
"Vohemar, Sava, Madagascar",Particulier,1
Zoma Bealoka,Particulier,1
